,rank,username,language,solved easy,solved easy beats,solved medium,solved medium beats,solved hard,solved hard beats,subs,recent,active_days,adv_skills,int_skills,fund_skills
2978,"123,774",Sparsh_2001,C++_465,202.0,98.1,208.0,94.6,28.0,84.1,574,"Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Rectangles to Cover Points,Score of a String,Find the Sum of Encrypted Integers,Product of Array Except Self,Binary Subarrays With Sum,Find the Pivot Integer,Is Graph Bipartite?,Rotting Oranges,Number of Provinces,Custom Sort String,Shortest Uncommon Substring in an Array,Apple Redistribution into Boxes,Maximize Happiness of Selected Children",151.0,"Dynamic Programming-62,Backtracking-19,Monotonic Stack-12,Divide and Conquer-10,Union Find-6,Trie-4,Topological Sort-3,Data Stream-1","Hash Table-88,Math-63,Tree-48,Depth-First Search-46,Binary Tree-45,Greedy-41,Binary Search-39,Breadth-First Search-34","Array-265,String-84,Sorting-65,Two Pointers-49,Matrix-29,Simulation-28,Stack-28,Linked List-14"
2979,"27,281",Rajesh S V,"Python3_660,Oracle_79,JavaScript_45",293.0,99.4,406.0,98.8,83.0,96.4,"3,464","Find if Path Exists in Graph,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Minimum Time to Visit Disappearing Nodes,Kth Smallest Amount With Single Denomination Combination,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Find the Number of Subarrays Where Boundary Elements Are Maximum",366.0,"Dynamic Programming-114,Union Find-20,Backtracking-16,Trie-16,Divide and Conquer-12,Monotonic Stack-11,Rolling Hash-6,Topological Sort-6","Hash Table-149,Math-83,Database-79,Depth-First Search-75,Greedy-69,Binary Search-67,Breadth-First Search-64,Tree-55","Array-390,String-143,Sorting-109,Two Pointers-57,Matrix-53,Stack-36,Simulation-34,Linked List-29"
2980,"131,363",Neelaksh Singh,C++_427,149.0,95.8,246.0,96.0,32.0,86.3,848,"Count the Number of Special Characters II,Count the Number of Special Characters I,Reverse Nodes in k-Group,Intersection of Two Linked Lists,Number of Islands,Delete Node in a Linked List,Add Two Numbers,Remove Nth Node From End of List,Merge Two Sorted Lists,Middle of the Linked List,Reverse Linked List,Longest Substring Without Repeating Characters,Longest Consecutive Sequence,Letter Combinations of a Phone Number,Reverse Integer",155.0,"Dynamic Programming-53,Backtracking-18,Divide and Conquer-14,Union Find-13,Monotonic Stack-6,Topological Sort-5,Trie-4,Shortest Path-4","Hash Table-102,Depth-First Search-58,Breadth-First Search-54,Tree-53,Math-48,Binary Tree-47,Greedy-46,Binary Search-29","Array-233,String-94,Sorting-66,Two Pointers-53,Matrix-31,Linked List-29,Stack-22,Simulation-14"
2983,"1,116,962",Yasharthvsingh,"C++_65,Java_2,Python3_2",28.0,62.2,36.0,69.0,5.0,46.8,213,"Latest Time You Can Obtain After Replacing Characters,Maximum Prime Difference,Longest Strictly Increasing or Strictly Decreasing Subarray,Lexicographically Smallest String After Operations With Constraint,Reverse Linked List,Maximum Subarray,Merge Sorted Array,Maximum Subarray,Search in Rotated Sorted Array,Find Minimum in Rotated Sorted Array,Peak Index in a Mountain Array,Two Sum,3Sum Closest,Champagne Tower,Roman to Integer",60.0,"Dynamic Programming-9,Divide and Conquer-7,Backtracking-6,Trie-1,Monotonic Stack-1","Math-14,Hash Table-11,Tree-7,Binary Tree-7,Binary Search-7,Recursion-4,Depth-First Search-3,Breadth-First Search-3","Array-36,String-14,Two Pointers-12,Linked List-7,Sorting-6,Matrix-3,Enumeration-2,Stack-2"
2984,"55,374",Bhavik Bharambe,"C++_599,MySQL_20,JavaScript_3",170.0,97.0,338.0,98.0,113.0,98.1,835,"Minimum Number of Operations to Satisfy Conditions,Find Edges in Shortest Paths,Count the Number of Special Characters I,Count the Number of Special Characters II,Longest Duplicate Substring,Longest Happy Prefix,Minimum Time to Revert Word to Initial State II,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimize Manhattan Distances,Count Alternating Subarrays",157.0,"Dynamic Programming-128,Union Find-28,Topological Sort-20,Backtracking-16,Shortest Path-14,Divide and Conquer-13,Trie-11,Rolling Hash-9","Hash Table-108,Depth-First Search-94,Graph-88,Breadth-First Search-83,Math-69,Tree-61,Binary Search-59,Sliding Window-59","Array-353,String-104,Sorting-66,Matrix-54,Two Pointers-43,Enumeration-23,Stack-22,Simulation-20"
2987,"78,536",MOHIT JAISWAL,"Java_536,C++_3,JavaScript_3",156.0,96.3,358.0,98.3,27.0,83.5,"1,096","Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Count Prefix and Suffix Pairs I,Minimum Deletions to Make String K-Special,Count Substrings Starting and Ending with Given Character,Existence of a Substring in a String and Its Reverse,Latest Time You Can Obtain After Replacing Characters,Maximum Prime Difference,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points,Score of a String,Count Alternating Subarrays,Water Bottles II,Shortest Subarray With OR at Least K II",242.0,"Dynamic Programming-105,Backtracking-26,Divide and Conquer-9,Monotonic Stack-8,Game Theory-4,Rolling Hash-4,Bitmask-4,Union Find-3","Hash Table-102,Math-89,Greedy-71,Binary Search-54,Bit Manipulation-51,Tree-38,Binary Tree-38,Depth-First Search-37","Array-298,String-137,Sorting-82,Two Pointers-53,Stack-27,Matrix-25,Linked List-25,Simulation-24"
2988,"52,543",rohanmishra1506,"C++_629,MySQL_1",225.0,98.6,361.0,98.3,44.0,90.6,"1,013","Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Combination Sum III,Combination Sum,Minimum Flips to Make a OR b Equal to c,Single Number,Counting Bits,Daily Temperatures,Sum Root to Leaf Numbers,Remove Duplicates from Sorted Array,Sum of Left Leaves,Latest Time You Can Obtain After Replacing Characters",315.0,"Dynamic Programming-78,Union Find-15,Divide and Conquer-14,Monotonic Stack-14,Backtracking-10,Trie-8,Topological Sort-4,Game Theory-3","Hash Table-129,Math-101,Greedy-76,Depth-First Search-75,Breadth-First Search-65,Tree-63,Binary Tree-59,Binary Search-59","Array-348,String-137,Sorting-89,Two Pointers-61,Matrix-44,Stack-44,Simulation-40,Linked List-39"
2989,"234,473",linq233,"Python3_234,Python_61,Pandas_34",120.0,93.4,163.0,92.2,22.0,79.9,"1,216","Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Rectangles to Cover Points,Score of a String,Maximal Rectangle,Trapping Rain Water,Remove K Digits,Reveal Cards In Increasing Order,Number of Students Unable to Eat Lunch,Time Needed to Buy Tickets",103.0,"Dynamic Programming-37,Divide and Conquer-8,Backtracking-7,Union Find-6,Trie-4,Monotonic Stack-4,Topological Sort-2,Shortest Path-2","Hash Table-61,Tree-36,Binary Tree-36,Depth-First Search-35,Math-32,Breadth-First Search-31,Greedy-26,Database-19","Array-133,String-64,Two Pointers-41,Sorting-34,Stack-24,Linked List-24,Matrix-20,Simulation-14"
2990,"19,545",Kevin Tang,"Python3_673,Java_288,C++_68",225.0,98.6,545.0,99.5,92.0,97.1,890,"Smallest String Starting From Leaf,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Remove K Digits,Reveal Cards In Increasing Order,Verify Preorder Sequence in Binary Search Tree,Time Needed to Buy Tickets,Valid Parenthesis String,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimum Remove to Make Valid Parentheses,Make The String Great,Range Sum Query - Mutable",250.0,"Dynamic Programming-143,Union Find-32,Backtracking-31,Divide and Conquer-21,Monotonic Stack-17,Trie-13,Topological Sort-13,Data Stream-9","Hash Table-177,Math-121,Depth-First Search-117,Breadth-First Search-99,Greedy-97,Binary Search-95,Tree-94,Binary Tree-84","Array-469,String-193,Sorting-113,Two Pointers-88,Matrix-72,Stack-54,Linked List-47,Simulation-40"
2991,"54,942",Rishi Raj,"C++_608,MySQL_7,JavaScript_7",193.0,97.8,350.0,98.2,80.0,96.2,"1,078","Find if Path Exists in Graph,Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Find the Number of Subarrays Where Boundary Elements Are Maximum,Sum Root to Leaf Numbers,Minimum Time to Visit Disappearing Nodes,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters",315.0,"Dynamic Programming-124,Union Find-24,Divide and Conquer-16,Monotonic Stack-16,Backtracking-12,Trie-8,Topological Sort-8,Rolling Hash-5","Hash Table-124,Depth-First Search-88,Math-78,Breadth-First Search-73,Tree-72,Binary Tree-64,Greedy-62,Binary Search-50","Array-336,String-132,Sorting-85,Two Pointers-57,Matrix-47,Stack-44,Simulation-30,Linked List-28"
2993,"60,168",Peter,"Python3_536,C++_82,MySQL_43",215.0,98.4,336.0,98.0,47.0,91.3,"2,399","Find All Groups of Farmland,Data Stream as Disjoint Intervals,Find Unique Binary String,Restore IP Addresses,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Capacity To Ship Packages Within D Days,Single Element in a Sorted Array,Unique Paths II,Remove Covered Intervals,Find Eventual Safe States,Count Sub Islands,Permutations II,Combinations,Sort an Array",196.0,"Dynamic Programming-73,Backtracking-28,Union Find-17,Divide and Conquer-13,Trie-11,Monotonic Stack-8,Topological Sort-7,Data Stream-5","Hash Table-123,Depth-First Search-88,Breadth-First Search-69,Math-66,Tree-59,Binary Tree-56,Greedy-52,Database-43","Array-298,String-138,Sorting-65,Two Pointers-62,Matrix-51,Stack-37,Linked List-27,Simulation-25"
2995,"72,771",Tanish Khandelwal,"C++_538,MySQL_14,Java_1",123.0,93.7,276.0,96.8,156.0,99.2,859,"Smallest String Starting From Leaf,Kth Smallest Amount With Single Denomination Combination,Sum Root to Leaf Numbers,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Trapping Rain Water,Maximal Rectangle,Reveal Cards In Increasing Order,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Time Needed to Buy Tickets,Number of Students Unable to Eat Lunch,Valid Parenthesis String",149.0,"Dynamic Programming-157,Union Find-22,Backtracking-18,Trie-14,Divide and Conquer-10,Monotonic Stack-10,Topological Sort-9,Shortest Path-9","Hash Table-106,Math-82,Depth-First Search-71,Greedy-69,Breadth-First Search-54,Tree-46,Bit Manipulation-44,Graph-42","Array-308,String-118,Sorting-81,Two Pointers-44,Matrix-40,Stack-31,Simulation-24,Enumeration-18"
2996,"72,456",Vaibhav Nayak,"C++_415,Java_118,Python3_33",187.0,97.6,284.0,97.0,85.0,96.6,712,"Number of Islands,Add One Row to Tree,Intersection of Two Linked Lists,Ugly Number,Sum Root to Leaf Numbers,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Sum of Left Leaves,Maximal Rectangle,Remove K Digits,Reveal Cards In Increasing Order,Time Needed to Buy Tickets,Number of Students Unable to Eat Lunch,Valid Parenthesis String,Minimum Remove to Make Valid Parentheses",325.0,"Dynamic Programming-112,Union Find-19,Backtracking-16,Divide and Conquer-14,Monotonic Stack-7,Topological Sort-7,Trie-6,Game Theory-5","Hash Table-100,Math-78,Depth-First Search-59,Breadth-First Search-53,Greedy-52,Tree-48,Binary Tree-45,Binary Search-45","Array-296,String-110,Sorting-75,Two Pointers-48,Matrix-41,Simulation-39,Linked List-33,Stack-29"
2997,"4,825",coder_pro2305,C++_1262,239.0,98.9,724.0,99.8,294.0,99.9,"2,242","Find Edges in Shortest Paths,Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Find if Path Exists in Graph,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Words Within Two Edits of Dictionary,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Sum of Left Leaves",359.0,"Dynamic Programming-285,Union Find-49,Backtracking-45,Monotonic Stack-33,Divide and Conquer-25,Bitmask-23,Topological Sort-21,Segment Tree-20","Hash Table-249,Math-186,Greedy-182,Depth-First Search-141,Binary Search-134,Breadth-First Search-126,Tree-99,Bit Manipulation-95","Array-799,String-240,Sorting-198,Matrix-104,Two Pointers-89,Stack-69,Simulation-62,Enumeration-42"
2998,"112,924",Samyak Jain,C++_486,90.0,89.2,208.0,94.6,160.0,99.2,"1,101","Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Find the String with LCP,Maximum Product of the Length of Two Palindromic Substrings,Maximal Rectangle,Trapping Rain Water,Count Stepping Numbers in Range,Remove K Digits,Count Visited Nodes in a Directed Graph,Count Anagrams,Maximize the Minimum Powered City,Stamping the Grid,Time Needed to Buy Tickets,Largest Rectangle in Histogram",157.0,"Dynamic Programming-103,Union Find-21,Backtracking-16,Trie-12,Monotonic Stack-11,Bitmask-9,Segment Tree-8,Topological Sort-8","Hash Table-98,Greedy-68,Math-61,Binary Search-49,Depth-First Search-49,Breadth-First Search-40,Bit Manipulation-39,Graph-35","Array-289,String-99,Sorting-65,Matrix-36,Two Pointers-35,Stack-27,Linked List-16,Simulation-15"
2999,"457,327",find_me_if_you_can,C++_189,65.0,83.2,120.0,88.6,4.0,40.9,606,"Find if Path Exists in Graph,Count the Number of Special Characters II,Count the Number of Special Characters I,Minimum Time to Visit Disappearing Nodes,Check if Move is Legal,Find All Groups of Farmland,Coloring A Border,Number of Islands,Minimum Remove to Make Valid Parentheses,Add One Row to Tree,Island Perimeter,Smallest String Starting From Leaf,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters",63.0,"Divide and Conquer-9,Backtracking-7,Dynamic Programming-7,Union Find-4,Rolling Hash-3,Trie-3,Monotonic Stack-3,Quickselect-2","Hash Table-51,Depth-First Search-24,Tree-22,Binary Tree-22,Breadth-First Search-21,Math-20,Sliding Window-18,Greedy-17","Array-106,String-39,Sorting-27,Two Pointers-22,Linked List-19,Simulation-14,Matrix-13,Stack-13"
3000,"529,503",G_SravaniReddy,"C++_123,C_41,MySQL_5",134.0,94.7,30.0,65.6,0.0,0.0,340,"Count the Number of Special Characters I,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Rearrange Array Elements by Sign,Root Equals Sum of Children,Maximum Odd Binary Number,Search in a Binary Search Tree,Remove K Digits,Longest Strictly Increasing or Strictly Decreasing Subarray,Same Tree,Binary Tree Inorder Traversal,Range Sum of BST,Valid Parentheses,Count Alternating Subarrays,Water Bottles II",56.0,"Dynamic Programming-2,Data Stream-1,Game Theory-1,Rolling Hash-1,Divide and Conquer-1,Trie-1,Monotonic Stack-1","Math-41,Hash Table-27,Bit Manipulation-15,Greedy-13,Binary Search-10,Sliding Window-7,Tree-5,Binary Tree-5","Array-84,String-40,Sorting-20,Simulation-16,Two Pointers-15,Linked List-12,Enumeration-9,Matrix-8"
3001,"268,478",Samrudhi Shete,"C++_242,MySQL_40,Java_3",134.0,94.7,131.0,89.7,18.0,76.1,680,"Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Find All Groups of Farmland,Number of Islands,Island Perimeter,Find the Town Judge,Add Two Numbers,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Rectangles to Cover Points,Score of a String,Lowest Common Ancestor of a Binary Search Tree,Relative Ranks,Serialize and Deserialize Binary Tree",225.0,"Dynamic Programming-38,Backtracking-8,Divide and Conquer-8,Trie-3,Union Find-3,Monotonic Stack-3,Game Theory-2,Data Stream-1","Hash Table-47,Math-44,Database-40,Binary Search-21,Greedy-20,Depth-First Search-20,Tree-19,Binary Tree-19","Array-134,String-43,Sorting-37,Two Pointers-34,Matrix-19,Linked List-17,Stack-14,Enumeration-7"
3002,"148,046",Anupam Maurya,"C++_396,Python3_5,Java_4",135.0,94.8,218.0,95.0,51.0,92.2,159,"Find Edges in Shortest Paths,Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimum Levels to Gain More Points,Shortest Subarray With OR at Least K I,Determine the Minimum Sum of a k-avoiding Array,Check if a String Is an Acronym of Words,Maximal Score After Applying K Operations",49.0,"Dynamic Programming-51,Union Find-18,Backtracking-17,Divide and Conquer-15,Monotonic Stack-11,Data Stream-6,Topological Sort-6,Trie-5","Hash Table-82,Depth-First Search-61,Math-55,Tree-49,Breadth-First Search-47,Binary Tree-41,Greedy-41,Graph-32","Array-213,String-78,Sorting-45,Two Pointers-38,Stack-33,Matrix-29,Linked List-26,Simulation-20"
3004,"95,019",Josh Vermaire,"JavaScript_494,Python3_12,MySQL_6",200.0,98.0,261.0,96.4,40.0,89.4,"1,290","Count the Number of Special Characters II,Count the Number of Special Characters I,Nested List Weight Sum,Find if Path Exists in Graph,Copy List with Random Pointer,Evaluate Reverse Polish Notation,132 Pattern,Find All Groups of Farmland,Number of Islands,Island Perimeter,Minimum Rectangles to Cover Points,Score of a String,Smallest String Starting From Leaf,Find All The Lonely Nodes,Verify Preorder Sequence in Binary Search Tree",214.0,"Dynamic Programming-65,Monotonic Stack-12,Union Find-11,Rolling Hash-8,Trie-8,Backtracking-7,Divide and Conquer-7,Game Theory-3","Hash Table-113,Math-60,Depth-First Search-54,Greedy-52,Tree-45,Binary Tree-43,Breadth-First Search-38,Binary Search-34","Array-251,String-125,Sorting-70,Two Pointers-61,Matrix-35,Stack-32,Simulation-26,Linked List-24"
3006,"290,030",Sai Srinivas,"C++_255,JavaScript_26",93.0,89.8,146.0,91.0,25.0,82.2,423,"Longest Repeating Character Replacement,Container With Most Water,Nth Magical Number,Number of Islands,3Sum Closest,K-Concatenation Maximum Sum,Island Perimeter,Maximum Product Subarray,Smallest String Starting From Leaf,Maximum Score Of Spliced Array,Maximum Subarray,Word Break,Longest Increasing Subsequence,Decode Ways,Coin Change",56.0,"Dynamic Programming-45,Backtracking-12,Divide and Conquer-10,Union Find-6,Trie-4,Monotonic Stack-4,Data Stream-1,Game Theory-1","Hash Table-48,Tree-36,Binary Tree-36,Depth-First Search-34,Math-27,Breadth-First Search-24,Binary Search-23,Greedy-18","Array-123,String-51,Two Pointers-34,Sorting-29,Linked List-19,Matrix-17,Stack-16,Simulation-7"
3008,"256,031",despair of athkatla,"Python3_281,C++_10,Python_7",94.0,89.9,173.0,92.9,22.0,79.9,"1,248","Find All Groups of Farmland,Maximum Number of Vowels in a Substring of Given Length,Count Anagrams,Number of Islands,Find Largest Value in Each Tree Row,Island Perimeter,Find And Replace in String,Smallest String Starting From Leaf,Process Tasks Using Servers,Delete Operation for Two Strings,Add One Row to Tree,Sum Root to Leaf Numbers,Jump Game III,Disconnect Path in a Binary Matrix by at Most One Flip,Maximum Prime Difference",143.0,"Dynamic Programming-47,Union Find-8,Backtracking-6,Divide and Conquer-6,Trie-6,Monotonic Stack-6,Quickselect-3,Data Stream-2","Hash Table-59,Math-47,Depth-First Search-37,Greedy-32,Breadth-First Search-27,Tree-26,Binary Tree-24,Binary Search-18","Array-175,String-59,Sorting-47,Two Pointers-26,Matrix-23,Simulation-17,Stack-13,Linked List-10"
3009,"9,507",LeenaTapadia,"Java_1097,C++_3,MySQL_1",369.0,99.8,601.0,99.7,84.0,96.5,562,"Find if Path Exists in Graph,Count the Number of Special Characters II,Count the Number of Special Characters I,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Maximal Rectangle,Trapping Rain Water,Remove K Digits",305.0,"Dynamic Programming-133,Backtracking-31,Union Find-25,Divide and Conquer-17,Monotonic Stack-17,Trie-15,Topological Sort-7,Game Theory-6","Hash Table-236,Math-163,Greedy-139,Depth-First Search-108,Tree-93,Breadth-First Search-88,Binary Tree-85,Binary Search-68","Array-606,String-259,Sorting-161,Two Pointers-88,Simulation-78,Matrix-72,Stack-55,Linked List-41"
3011,"199,877",Rajan,C++_337,80.0,87.2,209.0,94.7,48.0,91.6,838,"Find All Groups of Farmland,Number of Islands,Island Perimeter,Broken Calculator,Smallest String Starting From Leaf,Add One Row to Tree,Binary Tree Maximum Path Sum,Frequency of the Most Frequent Element,Sum Root to Leaf Numbers,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Sum of Left Leaves,Minimum Moves to Equal Array Elements,Reverse Bits,Maximal Rectangle",127.0,"Dynamic Programming-77,Union Find-17,Backtracking-13,Monotonic Stack-12,Divide and Conquer-11,Trie-9,Game Theory-5,Data Stream-4","Hash Table-65,Depth-First Search-53,Breadth-First Search-44,Tree-42,Binary Tree-42,Math-40,Greedy-36,Binary Search-20","Array-179,String-81,Sorting-49,Two Pointers-39,Stack-37,Matrix-33,Linked List-26,Simulation-15"
3012,"111,898",VSH,"C++_468,Python3_1,Oracle_1",135.0,94.8,268.0,96.6,59.0,93.7,639,"Count the Number of Special Characters II,Count the Number of Special Characters I,Minimum Cost Walk in Weighted Graph,Minimum Operations to Make Median of Array Equal to K,Number of Islands,Island Perimeter,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Reveal Cards In Increasing Order,Valid Parenthesis String,Number of Students Unable to Eat Lunch,Time Needed to Buy Tickets,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Minimum Remove to Make Valid Parentheses",155.0,"Dynamic Programming-74,Backtracking-24,Divide and Conquer-17,Union Find-17,Trie-8,Rolling Hash-5,Monotonic Stack-5,Topological Sort-5","Hash Table-95,Depth-First Search-75,Tree-62,Math-56,Binary Tree-54,Breadth-First Search-54,Greedy-52,Binary Search-35","Array-230,String-103,Sorting-65,Two Pointers-37,Matrix-31,Stack-28,Linked List-26,Simulation-22"
3013,"105,060",Siddhant Soam,"C++_457,MySQL_18,Python3_8",123.0,93.7,302.0,97.4,51.0,92.2,895,"Count the Number of Special Characters II,Count the Number of Special Characters I,Find K Pairs with Smallest Sums,Copy List with Random Pointer,Minimum Number of Arrows to Burst Balloons,Game of Life,Summary Ranges,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,IPO,Candy,Text Justification,Word Pattern,Isomorphic Strings,Integer to Roman",240.0,"Dynamic Programming-94,Backtracking-21,Divide and Conquer-16,Union Find-16,Trie-11,Monotonic Stack-10,Rolling Hash-6,Topological Sort-6","Hash Table-89,Depth-First Search-57,Math-51,Tree-50,Breadth-First Search-49,Binary Tree-48,Greedy-43,Binary Search-34","Array-257,String-99,Sorting-57,Two Pointers-53,Matrix-44,Stack-28,Linked List-27,Simulation-19"
3015,"152,009",Braydon Wang,"C++_366,Java_14,MySQL_10",151.0,96.0,219.0,95.1,24.0,81.5,212,"Find All Groups of Farmland,Number of Islands,Kth Largest Element in an Array,Island Perimeter,Valid Palindrome II,Smallest String Starting From Leaf,Stock Price Fluctuation,Range Module,Text Justification,Find All Possible Recipes from Given Supplies,Add One Row to Tree,Interleaving String,Closest Prime Numbers in Range,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters",41.0,"Dynamic Programming-59,Backtracking-18,Divide and Conquer-16,Monotonic Stack-9,Trie-7,Union Find-5,Data Stream-4,Topological Sort-4","Hash Table-81,Depth-First Search-58,Math-56,Tree-51,Binary Tree-51,Breadth-First Search-40,Binary Search-31,Greedy-25","Array-185,String-99,Two Pointers-53,Sorting-49,Matrix-33,Linked List-27,Stack-24,Simulation-17"
3016,"85,465",dhruv tongia,C++_523,156.0,96.3,315.0,97.6,52.0,92.4,501,"Find Edges in Shortest Paths,Minimum Number of Operations to Satisfy Conditions,Count the Number of Special Characters II,Count the Number of Special Characters I,Reverse Words in a String,Rotate Array,Rotate Image,Game of Life,Set Matrix Zeroes,Valid Sudoku,LRU Cache,Remove Duplicates from Sorted List II,Reverse Linked List II,Copy List with Random Pointer,Add Two Numbers",55.0,"Dynamic Programming-84,Backtracking-27,Divide and Conquer-16,Union Find-16,Monotonic Stack-12,Trie-8,Topological Sort-5,Shortest Path-5","Hash Table-94,Depth-First Search-77,Math-69,Breadth-First Search-61,Tree-58,Greedy-57,Binary Search-53,Binary Tree-52","Array-290,String-103,Two Pointers-73,Sorting-67,Matrix-47,Stack-37,Linked List-36,Simulation-14"
3017,"119,890",Kartik Patel,"C++_428,MySQL_12,Java_4",177.0,97.3,227.0,95.4,42.0,90.0,780,"Find if Path Exists in Graph,Find All Groups of Farmland,Number of Islands,Island Perimeter,Smallest String Starting From Leaf,Add One Row to Tree,Sum Root to Leaf Numbers,Sum of Left Leaves,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Maximal Rectangle,Largest Rectangle in Histogram,Find the Number of Subarrays Where Boundary Elements Are Maximum,Minimum Time to Visit Disappearing Nodes,Minimum Rectangles to Cover Points",307.0,"Dynamic Programming-54,Union Find-19,Divide and Conquer-12,Monotonic Stack-8,Shortest Path-7,Backtracking-6,Topological Sort-5,Data Stream-2","Hash Table-82,Depth-First Search-70,Math-63,Breadth-First Search-60,Tree-51,Binary Tree-51,Greedy-39,Graph-30","Array-226,String-89,Sorting-65,Two Pointers-43,Matrix-36,Stack-30,Simulation-24,Linked List-20"
3019,"49,340",Gaurav Ghidode,"C++_637,JavaScript_7,C_1",235.0,98.8,348.0,98.1,62.0,94.2,601,"Count the Number of Special Characters II,Count the Number of Special Characters I,Maximum Prime Difference,Latest Time You Can Obtain After Replacing Characters,Valid Parenthesis String,Filter Elements from Array,Apply Transform Over Each Element in Array,Counter II,To Be Or Not To Be,Create Hello World Function,Minimum Operations to Make Median of Array Equal to K,Lexicographically Smallest String After Operations With Constraint,Longest Strictly Increasing or Strictly Decreasing Subarray,Find Duplicate Subtrees,Maximum Nesting Depth of the Parentheses",135.0,"Dynamic Programming-117,Backtracking-26,Divide and Conquer-15,Monotonic Stack-14,Union Find-12,Trie-8,Topological Sort-6,Rolling Hash-5","Hash Table-120,Depth-First Search-94,Math-94,Tree-91,Binary Tree-81,Breadth-First Search-67,Greedy-65,Binary Search-54","Array-342,String-128,Sorting-78,Two Pointers-65,Matrix-55,Stack-43,Simulation-36,Linked List-33"
